drift_cm,start_mm,window_us,nticks,starts_s,drift_s,induce_s,total_s
3,30,40,800,1.535949670,118.381445692,9.414355042,129.331750404
9,90,90,1800,1.551321856,120.902520129,19.254019878,141.707861863
